country,code,year,percent_migrant,percent_f_migrant,total_refugees,total_pop,percent_refugees,immigrants,emigrants,net_migration
Rwanda,646,2019,4.3,50,171414,12.62695,31.57,530647,499213,2.49
St. Helena,654,2019,7.1,30.3,0,0.006059,0,360,6596,-1029.21
St. Kitts & Nevis,659,2019,14.4,47.4,0,0.052823,0,3582,43687,-759.23
Anguilla,660,2019,38.2,52.6,1,0.014869,0.02,4170,2707,98.39
St. Lucia,662,2019,4.6,52,0,0.18279,0,7792,63618,-305.41
St. Pierre & Miquelon,666,2019,17,47.6,0,0.005822,0,969,431,92.41
St. Vincent & Grenadines,670,2019,4.2,48.9,0,0.110589,0,4392,67974,-574.94
San Marino,674,2019,16.3,46.7,0,0.03386,0,5197,2425,81.87
São Tomé & Príncipe,678,2019,1,50.1,0,0.215056,0,2121,37013,-162.25
Saudi Arabia,682,2019,38.3,31.4,210,34.268528,0,12680056,303904,361.15
Senegal,686,2019,1.7,47,17989,16.296364,6.49,230851,650482,-25.75
Serbia,688,2019,9.4,56,32327,8.772235,3.92,819597,964670,-16.54
Seychelles,690,2019,13.2,30,0,0.097739,0,12486,29921,-178.38
Sierra Leone,694,2019,0.7,43.5,678,7.813215,1.24,53441,154977,-13
Singapore,702,2019,37.1,55.9,0,5.804337,0,1916149,352236,269.44
Slovakia,703,2019,3.4,48.9,913,5.457013,0.49,187321,357799,-31.24
Vietnam,704,2019,0.1,42.1,0,96.462106,0,70549,2857438,-28.89
Slovenia,705,2019,12.2,43.7,835,2.078654,0.33,228455,143805,40.72
Somalia,706,2019,0.3,47.9,29231,15.442905,63.09,26439,2068097,-132.21
South Africa,710,2019,7.2,44.4,280027,58.55827,6.64,3052965,863449,37.39
Zimbabwe,716,2019,2.8,43.2,15948,14.645468,3.89,295959,941690,-44.09
Spain,724,2019,13.1,52.3,52432,46.736776,0.86,6088477,1408947,100.13
South Sudan,728,2019,7.8,49,285295,11.062113,33.06,862984,2585218,-155.69
Sudan,729,2019,2.9,50.4,924789,42.813238,74.48,1196197,2040783,-19.73
Western Sahara,732,2019,0.9,40.9,0,0.582463,0,5160,195572,-326.91
Suriname,740,2019,7.9,45.3,91,0.581372,0.2,27084,284568,-442.89
Swaziland,748,2019,2.8,48.7,1309,1.14813,4.07,25089,97132,-62.75
Sweden,752,2019,20,49.7,292479,10.036379,14.57,1910736,359772,154.53
Switzerland,756,2019,29.9,50.8,116678,8.591365,4.54,2408222,699650,198.87
Syria,760,2019,5.1,48.8,589358,17.070135,67.7,800985,8274868,-437.83
Tajikistan,762,2019,2.9,56.9,2956,9.321018,1.09,273773,579149,-32.76
Thailand,764,2019,5.2,49.8,111457,69.625582,3.08,3634200,979976,38.12
Togo,768,2019,3.5,49.4,13807,8.082366,4.88,257469,530849,-33.82
Tokelau,772,2019,37.6,52,0,0.00134,0,464,2242,-1326.87
Tonga,776,2019,3.6,45.4,0,0.104494,0,1050,63652,-599.1
Trinidad & Tobago,780,2019,4.2,50.9,7994,1.394973,13.64,52124,400014,-249.39
United Arab Emirates,784,2019,87.9,26.3,2751,9.770529,0.03,8326184,162747,835.52
Tunisia,788,2019,0.5,48.2,737,11.694719,1.26,46316,831634,-67.15
Turkey,792,2019,7,44.6,3787207,83.429615,64.85,5739123,3452507,27.41
Turkmenistan,795,2019,3.3,52.7,22,5.942089,0.01,191050,242863,-8.72
Turks & Caicos Islands,796,2019,64.2,48.3,0,0.038191,0,19175,2753,430
Tuvalu,798,2019,2,45,0,0.011646,0,130,3276,-270.14
Uganda,800,2019,3.9,51.8,1395115,44.269594,80.81,1731631,748489,22.21
Ukraine,804,2019,11.3,57,9395,43.993638,0.19,4540781,5978783,-32.69
Macedonia,807,2019,6.3,58.3,425,2.083459,0.32,129635,667844,-258.32
Egypt,818,2019,0.5,46.2,289150,100.388073,57.61,479078,3547877,-30.57
United Kingdom,826,2019,14.1,52,162202,67.530172,1.7,9469348,4668608,71.09
"",830,2019,48.7,52.2,0,0.172259,0,,,
Isle of Man,833,2019,50.7,51.2,0,0.084584,0,37095,12809,287.12
Tanzania,834,2019,0.9,50.6,352700,58.005463,67.56,472335,322834,2.58
United States,840,2019,15.4,51.7,929762,329.064917,1.83,48065741,2907648,137.23
